#id	warrant0	warrant1	correctLabelW0orW1	reason	claim	debateTitle	debateInfo
18249360_112_A104V8NZIQFN2F	comments sections are A welcome distraction from my work	comments sections always distract me from my work	0	They add A lot To the piece And I look forward To reading comments	Comment sections have not failed	Have Comment Sections Failed	In recent years many media companies have disabled them because <unk> widespread abuse And obscenity
18248741_114_A104V8NZIQFN2F	the rest <unk> the comments can be skipped easily	the rest <unk> the comments make the section unreadable	0	Many comments are thoughful And insightful	Comment sections have not failed	Have Comment Sections Failed	In recent years many media companies have disabled them because <unk> widespread abuse And obscenity
18362833_247_AE861G0AY5RGT	all other search engines re direct To google	other search engines do not re direct To google	1	People can choose not To use google	Google is not A harmful monopoly	Is Google A Harmful Monopoly	European regulators say the company Android phone blocks rival services
19120938_547_A1I4CYG5YDFTYM	it does not show that she will be biased against anything that has anything To do with Trump	it shows she will be biased against anything that has anything To do with Trump	0	Ginsberg is brave for speaking out	Supreme court justice can denounce A candidate	Can A Supreme Court Justice Denounce A Candidate	Is it ever appropriate or ethical for A justice To announce his or her preference in A presidential election
18541016_156_A1DJNUJZN8FE7N	A huge pandemic would be A great news story	A huge pandemic would not be A great news story	1	Attending the Olympics will risk the health <unk> participants And fans as well as their families And entire countries	Brazil should postpone Olympics	Should Brazil Postpone the Olympics	The country is in the midst <unk> A political And economic crisis not To mention A Zika outbreak And the Summer Games are three months away
19122212_466_A104V8NZIQFN2F	the role <unk> A citizen And A supreme court justice are inseparable	the role <unk> A citizen And A supreme court justice are separable	1	The justice is using her role as A citizen not A judge To speak And Trump is an enemy <unk> law	Supreme court justice can denounce A candidate	Can A Supreme Court Justice Denounce A Candidate	Is it ever appropriate or ethical for A justice To announce his or her preference in A presidential election
18250796_0_A2JKETV64OU7DY	A majority <unk> these comments are not trolls or arguments about preferences	A majority <unk> these comments are trolls or arguments about preferences	0	The reading public can use comments sections To voice their opinion on media	Comment sections have not failed	Have Comment Sections Failed	In recent years many media companies have disabled them because <unk> widespread abuse And obscenity
18864173_353_A34QZDSTKZ3JO9	being gay isn't considered A sin	being gay is considered A sin	1	I find the idea that it is A sin To be born or live A life at all To be preposterous	Christians have created A harmful atmosphere for gays	Have Christians Created A Harmful Atmosphere for Gays	church backed efforts To fight <abbv> rights have been blamed for feeding A hateful atmosphere that accommodates attacks on gays
18244013_445_A104V8NZIQFN2F	I want To see all these ideas even stupid ones	I don't want To see all these stupid ideas	0	Comments sections permit A reader To analyze many different perspectives in one place	Comment sections have not failed	Have Comment Sections Failed	In recent years many media companies have disabled them because <unk> widespread abuse And obscenity
18247581_67_AYFOAD75CRBKE	they can cause explosive meaningless arguments	they can cause quiet meaningful debates	1	Comment sections provide insight	Comment sections have not failed	Have Comment Sections Failed	In recent years many media companies have disabled them because <unk> widespread abuse And obscenity
18639835_174_A1CF6U3GF7DZEJ	these standards are government responsibility	these standards are not government responsibility	0	There should be seating standards And baggage fees should be waived for those in TSA line over <num> minutes	Government should regulate airline industry again	Does the Airline Industry Need To Be Regulated Again	Competition has shrunk along with seating Fees have risen fares stay high And service is A problem Should the government take action
18332215_432_A34QZDSTKZ3JO9	some people can't control their addiction	most people can control their addiction	1	Pot hasn't led me To lose control	Marijuana is not A gateway drug	Is Marijuana A Gateway Drug	Does using marijuana lead To the use <unk> more dangerous drugs making it too dangerous To legalize
19639960_755_AE861G0AY5RGT	you are able To find information online	you aren't able To be diagnosed online	0	It is good To be informed about your health	Medical websites are healthful	Are Medical Websites Healthful	Does the internet add To patients knowledge or dangerously misinform them
18249031_0_A2QVMCGDLTWV9	Information isn't that important	Information is important	1	Comments are informative	Comment sections have not failed	Have Comment Sections Failed	In recent years many media companies have disabled them because <unk> widespread abuse And obscenity
