#id	warrant0	warrant1	correctLabelW0orW1	reason	claim	debateTitle	debateInfo
9975147_345_A34QZDSTKZ3JO9	scholarships would give women A chance To study	scholarships would take women from the home	0	Miss America gives honors And education scholarships	Miss America is good for women	There She Is Miss America	In <num> feminists gathered in Atlantic City To protest the Miss America pageant calling it racist And sexist Is this beauty contest bad for women
3651490_320_A104V8NZIQFN2F	professors are even more inflexible And indoctrinate students To their personal beliefs	professors are flexible And indoctrinate students To the power <unk> choice	1	I found online courses To not be well designed flexible or conducive To discussion	Online classes are not the best way To teach	Can Young Students Learn From Online Classes	Online courses are increasingly common in high schools And middle schools Is this the best way To teach that age group
5445948_307_A247LJDZOGXJK6	that harms the company bottom line	that helps the company bottom line	1	Interns are replacing employees	Unpaid internship exploit college students	Do Unpaid Internships Exploit College Students	Should the government get tough To protect unpaid interns or are internships A win win
5477096_432_A34QZDSTKZ3JO9	picking teams encourages competitiveness	picking teams is not the way the system works	1	If home schooled children get To pick A high school sports team high school kids will want To be able To play for other schools	home schoolers should not play for high school teams	Should home schoolers Play for High School Teams	home schoolers may not want their children in the classroom but they'd like To see them on the football field Is that their right
13303812_159_A2GHGJP29KRWOQ	most people don't understand that natural does not mean healthy	most people understand that natural does not mean healthy	0	Labeling A product with natural is an attempt To portray the food as healthy but is often not the case	Restrict use <unk> the word natural on food labels	What Makes Natural Natural	Should the F.D.A. restrict use <unk> the word natural on food labels
3526042_138_A3TKD7EJ6BM0M5	fewer tourists at attractions is best for New Yorkers	fewer tourists at attractions is not best for New Yorkers	1	The parking problems caused by the bike lanes are ruining attractions	New York bike lanes are not working	Are New York Bike Lanes Working	Mayor Koch bicycle network died quickly Mayor Bloomberg is remaking the streets <unk> the city What is the verdict so far
5475504_203_AE861G0AY5RGT	there is no prejudice that needed To be overcome as A home schooled student	there are prejudices that need To be overcome as A home schooled student	1	If they play for high school team maybe they can overcome the prejudice <unk> being home schooled	home schoolers should play for high school teams	Should home schoolers Play for High School Teams	home schoolers may not want their children in the classroom but they'd like To see them on the football field Is that their right
6022328_10_A1CF6U3GF7DZEJ	vegans can't figure out how To eat without being at risk	vegans can figure out how To eat without being at risk	0	Humans are naturally omnivorous as dictated by our physiological needs And veganism is A health risk	Veganism is not good for everyone	Is Veganism Good For Everyone	Maybe some <unk> us simply weren't built To be vegans Is the diet good for everyone
10396017_407_A1CF6U3GF7DZEJ	we really don't that many tradespeople	we really need more trades people	1	It can provide more vocational training which will better prepare students To handle their future jobs better	High school should last six years	Should High School Last Six Years	President Obama recently visited A six year high school highlighting it as A model for the rest <unk> the U.S. Should it be replicated
6953350_0_APW9F8OTJ4KXO	supporting an unappreciative country only makes the US look selfless And charitable	supporting an unappreciative country only makes the US look dumb And stingy	1	Israel doesn't appreciate what we give them	Supporting Israel hurts	Has Support for Israel Hurt U.S. Credibility	Is support for Israel so entrenched in American politics that the U.S. has lost credibility And influence in the Middle East
